Date,Championship_Title,Team_A,Team_B,Time,Team_A_Score,Team_B_Score,Match_Status,Chanel_Streaming,Match_Detail_Link,Match_Week_Number
2023-03-04,دوري أبطال إفريقيا,الأهلي,القطن الكاميروني,18:00,3,0,انتهت,بى ان سبورت 4 HD,https://www.yallakora.com/african-champions-league/2787/match/85726/%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a-%d8%a7%d9%84%d9%82%d8%b7%d9%86-%d8%a7%d9%84%d9%83%d8%a7%d9%85%d9%8a%d8%b1%d9%88%d9%86%d9%8a-%d8%af%d9%88%d8%b1%d9%8a-%d8%a3%d8%a8%d8%b7%d8%a7%d9%84-%d8%a5%d9%81%d8%b1%d9%8a%d9%82%d9%8a%d8%a7#MC_MatcheDetails,الجولة الاولي
2023-03-04,الدوري الإنجليزي,مانشستر سيتي,نيوكاسل,14:30,2,0,انتهت,بى ان سبورت بريميوم 1,https://www.yallakora.com/epl/2761/match/87025/%d9%85%d8%a7%d9%86%d8%b4%d8%b3%d8%aa%d8%b1-%d8%b3%d9%8a%d8%aa%d9%8a-%d9%86%d9%8a%d9%88%d9%83%d8%a7%d8%b3%d9%84-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,تشيلسي     ,ليدز يونايتد,17:00,1,0,انتهت,بى ان سبورت بريميوم 2,https://www.yallakora.com/epl/2761/match/87026/%d8%aa%d8%b4%d9%8a%d9%84%d8%b3%d9%8a--%d9%84%d9%8a%d8%af%d8%b2-%d9%8a%d9%88%d9%86%d8%a7%d9%8a%d8%aa%d8%af-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,استون فيلا  ,كريستال بالاس ,17:00,1,0,انتهت,بى ان سبورت اكسترا 1,https://www.yallakora.com/epl/2761/match/87027/%d8%a7%d8%b3%d8%aa%d9%88%d9%86-%d9%81%d9%8a%d9%84%d8%a7--%d9%83%d8%b1%d9%8a%d8%b3%d8%aa%d8%a7%d9%84-%d8%a8%d8%a7%d9%84%d8%a7%d8%b3--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,وولفرهامبتون,توتنهام هوتسبر,17:00,1,0,انتهت,بى ان سبورت بريميوم 3,https://www.yallakora.com/epl/2761/match/87028/%d9%88%d9%88%d9%84%d9%81%d8%b1%d9%87%d8%a7%d9%85%d8%a8%d8%aa%d9%88%d9%86-%d8%aa%d9%88%d8%aa%d9%86%d9%87%d8%a7%d9%85-%d9%87%d9%88%d8%aa%d8%b3%d8%a8%d8%b1-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,برايتون,وست هام يونايتد,17:00,4,0,انتهت,بى ان سبورت اكسترا 2,https://www.yallakora.com/epl/2761/match/87029/%d8%a8%d8%b1%d8%a7%d9%8a%d8%aa%d9%88%d9%86-%d9%88%d8%b3%d8%aa-%d9%87%d8%a7%d9%85-%d9%8a%d9%88%d9%86%d8%a7%d9%8a%d8%aa%d8%af-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,أرسنال,بورنموث,17:00,3,2,انتهت,بى ان سبورت بريميوم 1,https://www.yallakora.com/epl/2761/match/87030/%d8%a3%d8%b1%d8%b3%d9%86%d8%a7%d9%84-%d8%a8%d9%88%d8%b1%d9%86%d9%85%d9%88%d8%ab-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإنجليزي,ساوثامبتون,ليستر سيتي,19:30,1,0,انتهت,,https://www.yallakora.com/epl/2761/match/87031/%d8%b3%d8%a7%d9%88%d8%ab%d8%a7%d9%85%d8%a8%d8%aa%d9%88%d9%86-%d9%84%d9%8a%d8%b3%d8%aa%d8%b1-%d8%b3%d9%8a%d8%aa%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails,الأسبوع السادس والعشرون
2023-03-04,الدوري الإسباني,خيتافي,جيرونا,15:00,3,2,انتهت,بى ان سبورت 1HD,https://www.yallakora.com/la-liga/2764/match/87048/%d8%ae%d9%8a%d8%aa%d8%a7%d9%81%d9%8a-%d8%ac%d9%8a%d8%b1%d9%88%d9%86%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
2023-03-04,الدوري الإسباني,الميريا,فياريال,17:15,0,2,انتهت,بى ان سبورت 1HD,https://www.yallakora.com/la-liga/2764/match/87050/%d8%a7%d9%84%d9%85%d9%8a%d8%b1%d9%8a%d8%a7-%d9%81%d9%8a%d8%a7%d8%b1%d9%8a%d8%a7%d9%84-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails,الأسبوع الرابع والعشرون
